               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  92,            0.042453,            0.011208,           0.0052319,             0.92758,                   1,               0.995,             0.57721,            0.037505,           0.0074411,           0.0046113,           0.0054955,           0.0054955,           0.0054955
                  93,            0.038807,            0.012152,           0.0053556,             0.83166,                   1,             0.89417,             0.60874,            0.035309,           0.0074443,           0.0046313,            0.005446,            0.005446,            0.005446
                  94,            0.045075,           0.0096285,           0.0054911,             0.55416,             0.83333,             0.80757,             0.37656,            0.045459,           0.0074087,           0.0045453,           0.0053965,           0.0053965,           0.0053965
                  95,            0.052032,            0.009732,           0.0051451,             0.75981,                   1,             0.87164,             0.46547,              0.0356,           0.0074324,            0.004647,            0.005347,            0.005347,            0.005347
                  96,            0.040951,            0.011041,           0.0057589,             0.75981,                   1,             0.87164,             0.46547,              0.0356,           0.0074324,            0.004647,           0.0052975,           0.0052975,           0.0052975
                  97,            0.040866,            0.010846,           0.0053237,             0.56168,                   1,             0.79841,             0.38501,              0.0402,           0.0071548,           0.0046353,            0.005248,            0.005248,            0.005248
                  98,            0.041137,            0.011312,           0.0057762,             0.97011,                   1,               0.995,             0.59781,             0.03446,           0.0074213,           0.0046811,           0.0051985,           0.0051985,           0.0051985
                  99,            0.040138,           0.0093465,           0.0052645,             0.70799,                   1,              0.9345,             0.40132,            0.039056,           0.0074721,           0.0046059,            0.005149,            0.005149,            0.005149
                 100,            0.041761,              0.0107,           0.0051389,             0.70799,                   1,              0.9345,             0.40132,            0.039056,           0.0074721,           0.0046059,           0.0050995,           0.0050995,           0.0050995
                 101,            0.038227,            0.012089,           0.0051099,             0.98173,                   1,               0.995,             0.72771,            0.025433,           0.0073707,           0.0045816,             0.00505,             0.00505,             0.00505
                 102,            0.036266,            0.010981,           0.0051457,             0.83728,                   1,               0.995,             0.56369,            0.038677,           0.0069497,            0.004427,           0.0050005,           0.0050005,           0.0050005
                 103,            0.045116,            0.010215,           0.0050397,             0.89595,                   1,               0.985,             0.62419,             0.02867,           0.0071644,           0.0044411,            0.004951,            0.004951,            0.004951
                 104,            0.036245,            0.011227,           0.0049174,             0.89595,                   1,               0.985,             0.62419,             0.02867,           0.0071644,           0.0044411,           0.0049015,           0.0049015,           0.0049015
                 105,            0.031614,            0.010095,           0.0047398,             0.98228,                   1,               0.995,             0.57266,             0.02901,           0.0071591,           0.0043094,            0.004852,            0.004852,            0.004852
                 106,            0.036084,            0.010175,            0.004845,             0.85198,             0.94444,             0.92939,             0.40849,            0.033937,           0.0074059,           0.0042385,           0.0048025,           0.0048025,           0.0048025
                 107,            0.043875,            0.011437,            0.005038,             0.89292,                   1,               0.995,             0.70377,            0.031234,           0.0069679,           0.0041653,            0.004753,            0.004753,            0.004753
                 108,            0.037129,            0.010021,           0.0049356,             0.89292,                   1,               0.995,             0.70377,            0.031234,           0.0069679,           0.0041653,           0.0047035,           0.0047035,           0.0047035
                 109,            0.034498,           0.0096121,           0.0048076,             0.86585,                   1,               0.925,             0.52753,            0.027072,           0.0070211,           0.0041035,            0.004654,            0.004654,            0.004654
                 110,            0.034644,           0.0099689,           0.0043047,             0.86345,                   1,             0.98125,             0.60456,             0.03599,            0.006808,           0.0039638,           0.0046045,           0.0046045,           0.0046045
                 111,            0.041439,            0.010909,           0.0044697,             0.79984,             0.99782,             0.94856,             0.65529,            0.031373,           0.0068024,           0.0039038,            0.004555,            0.004555,            0.004555
                 112,             0.03718,            0.010045,           0.0045687,             0.79984,             0.99782,             0.94856,             0.65529,            0.031373,           0.0068024,           0.0039038,           0.0045055,           0.0045055,           0.0045055
                 113,            0.032057,           0.0092148,           0.0043537,              0.9894,                   1,               0.995,             0.60455,            0.026029,           0.0068515,           0.0038586,            0.004456,            0.004456,            0.004456
                 114,            0.037434,           0.0096602,            0.004418,             0.90331,                   1,               0.995,             0.57331,            0.034807,            0.006802,           0.0038905,           0.0044065,           0.0044065,           0.0044065
                 115,            0.040287,           0.0097894,           0.0042264,              0.8345,             0.98557,             0.92641,             0.50465,             0.03166,           0.0067949,           0.0038884,            0.004357,            0.004357,            0.004357
                 116,            0.037516,            0.010017,            0.004173,              0.8345,             0.98557,             0.92641,             0.50465,             0.03166,           0.0067949,           0.0038884,           0.0043075,           0.0043075,           0.0043075
                 117,            0.034747,           0.0096376,           0.0045116,             0.97735,                   1,               0.995,             0.65278,            0.027145,           0.0067242,           0.0039277,            0.004258,            0.004258,            0.004258
                 118,             0.03561,           0.0094329,           0.0043095,             0.73365,             0.94444,              0.9895,             0.66335,            0.034663,           0.0067023,           0.0038365,           0.0042085,           0.0042085,           0.0042085
                 119,            0.040515,           0.0086561,           0.0042434,             0.86546,                   1,               0.995,             0.76619,            0.029552,           0.0064512,           0.0038249,            0.004159,            0.004159,            0.004159
                 120,            0.033127,           0.0085735,           0.0041351,             0.86546,                   1,               0.995,             0.76619,            0.029552,           0.0064512,           0.0038249,           0.0041095,           0.0041095,           0.0041095
                 121,            0.033596,            0.010707,            0.004468,             0.93492,                   1,              0.9675,             0.65735,            0.028303,           0.0065401,            0.003824,             0.00406,             0.00406,             0.00406
                 122,            0.032851,           0.0088777,           0.0043942,             0.72066,             0.98884,             0.91119,             0.57195,            0.029459,           0.0065894,            0.003774,           0.0040105,           0.0040105,           0.0040105
                 123,            0.035026,             0.01008,           0.0043423,             0.91943,                   1,              0.9785,             0.65824,            0.024939,           0.0065104,            0.003805,            0.003961,            0.003961,            0.003961
                 124,            0.032174,           0.0087652,           0.0045129,             0.91943,                   1,              0.9785,             0.65824,            0.024939,           0.0065104,            0.003805,           0.0039115,           0.0039115,           0.0039115
                 125,            0.028281,            0.008611,           0.0040555,             0.98109,                   1,               0.995,             0.68648,            0.024712,           0.0063357,           0.0038264,            0.003862,            0.003862,            0.003862
